loan_date,id,equip_id,active
2021-05-01',3,1,FALSE
2021-05-01',3,1,FALSE
2021-05-01',3,1,FALSE
2021-05-01',3,3,FALSE
2021-05-01',1,2,FALSE
2021-05-01',3,2,FALSE
2021-05-01',3,1,FALSE
2021-05-01',1,2,FALSE
2021-05-01',3,1,FALSE
2021-05-01',3,3,FALSE
2021-05-01',2,1,FALSE
2021-05-01',3,3,FALSE
2021-05-01',1,2,FALSE
2021-05-01',3,3,FALSE
2021-05-01',2,2,FALSE
2021-05-01',1,1,FALSE
2021-05-01',3,1,FALSE
2021-05-01',1,3,FALSE
2021-05-01',1,3,FALSE
2021-05-01',1,2,FALSE
2021-05-01',2,1,FALSE
2021-05-01',3,2,FALSE
2021-05-01',1,2,FALSE
2021-05-01',1,3,FALSE
2021-05-01',1,2,FALSE
2021-05-01',3,1,FALSE
2021-05-01',2,3,FALSE
2021-05-01',1,3,FALSE
2021-05-01',3,3,FALSE
2021-05-01',2,3,FALSE
